,sent_no,baseline_sentimentr_stdscaler_roll10,baseline_syuzhet_stdscaler_roll10,baseline_bing_stdscaler_roll10,baseline_sentiword_stdscaler_roll10,baseline_senticnet_stdscaler_roll10,baseline_nrc_stdscaler_roll10,baseline_afinn_stdscaler_roll10,baseline_vader_stdscaler_roll10,baseline_textblob_stdscaler_roll10,baseline_flair_stdscaler_roll10,baseline_pattern_stdscaler_roll10,baseline_stanza_stdscaler_roll10,sentimentr_jockers_rinker_stdscaler_roll10,sentimentr_jockers_stdscaler_roll10,sentimentr_huliu_stdscaler_roll10,sentimentr_senticnet_stdscaler_roll10,sentimentr_sentiword_stdscaler_roll10,sentimentr_nrc_stdscaler_roll10,sentimentr_lmcd_stdscaler_roll10,syuzhetr_syuzhet_stdscaler_roll10,syuzhetr_bing_stdscaler_roll10,syuzhetr_afinn_stdscaler_roll10,syuzhetr_nrc_stdscaler_roll10,transformer_roberta15lg_stdscaler_roll10,transformer_nlptown_stdscaler_roll10,transformer_yelp_stdscaler_roll10,transformer_hinglish_stdscaler_roll10,transformer_imdb2way_stdscaler_roll10,transformer_huggingface_stdscaler_roll10,transformer_t5imdb50k_stdscaler_roll10,transformer_robertaxml8lang_stdscaler_roll10
2097,2097,-0.002697517532311482,-0.018422668983690087,-0.051647583037479204,0.012725448627991786,0.06939251925298351,-0.03409560523800694,-0.03707215118196166,-0.0693285054464161,-0.037292801104890784,-0.11201083697071018,-0.07640804484049353,-0.06502925348267802,0.33216269020398603,0.18299664024591372,-0.542324574306585,1.2889488221356222,0.1786643287287637,0.4746952323550813,-0.17291203418590984,-0.013319138585266567,-0.793601461842805,-0.8314346248652905,-0.31283317824329665,0.3090944905920114,0.2711339698347319,0.011967076713128532,-1.0730814565582576,1.8057001214956394,0.8186770320807932,-0.13008778114674172,-1.4366951753325508
2098,2098,-0.0003184964590709532,-0.01596693628863311,-0.0485293130061512,0.012057153863142088,0.07025364985473367,-0.03409560523800694,-0.03707215118196166,-0.06980342285734333,-0.03552318814923419,-0.11009751674738513,-0.06376767013295827,-0.0600656174377248,0.36556316819593476,0.21713589770175093,-0.4974652373938823,1.310592393791726,0.16889161689374177,0.4746952323550813,-0.1001566443099622,-0.015245680216204377,-0.7482234473989642,-0.8314346248652905,-0.31283317824329665,0.2266479077898722,0.27556343815760487,0.06669999786085155,-1.1639157018143613,1.8052775942805537,0.8087199996689113,-0.25501482472833487,-1.4122186639098104
2099,2099,-0.001111503483484463,-0.016785513853652102,-0.05116358216338261,0.016679525986685824,0.062493373200252056,-0.03409560523800694,-0.03707215118196166,-0.06980342285734333,-0.032337884829052324,-0.10150873481312744,-0.05659878595754831,-0.0663316238754709,0.35769060003494163,0.2090891975511856,-0.5291855787243862,1.1574886408731733,0.2573126102125666,0.4746952323550813,-0.1001566443099622,-0.02487838837089473,-0.793601461842805,-0.8314346248652905,-0.31283317824329665,0.2273242523350511,0.25238995520156476,0.06920800961408444,-1.0635538929289945,1.8006808292555512,0.8088980004958118,-0.25501482472833487,-1.33496932148695
2100,2100,0.008721783619243056,-0.006635152047416605,-0.0465142064749027,0.008526329855519522,0.06918291854933172,-0.026612829655471255,-0.03097007433920484,-0.061236501809067055,-0.03007645736364182,-0.0947049680989836,-0.05629596989057917,-0.07491686133996116,0.5132590602853127,0.36809864998404707,-0.4443649777737699,1.264436714799407,0.20140182164333878,0.592434519423757,-0.03137323915527314,0.09456719274726434,-0.7028454329551235,-0.7349908291362355,-0.22599916162061826,0.2275204696217488,0.2944129352055085,0.06588454170195918,-1.048420180156548,1.8089411673822542,0.8087250773702335,-0.25501482472833487,-1.3173047906082438
2101,2101,0.008721783619243056,-0.006635152047416605,-0.0465142064749027,0.007858035090669827,0.06837987007028024,-0.026612829655471255,-0.0287274058805279,-0.05851216937429076,-0.03007645736364182,-0.09499399200095411,-0.05629596989057917,-0.07474097728732322,0.5132590602853127,0.36809864998404707,-0.4443649777737699,1.3333279406287564,0.21888378003343925,0.592434519423757,-0.03137323915527314,0.09456719274726434,-0.7028454329551235,-0.7157020699904245,-0.22599916162061826,0.3104222955980518,0.2735124909174482,-0.040178791689822066,-1.129111863044122,1.8090418053230788,0.7201569981038777,-0.25501482472833487,-1.3874219963105352
2102,2102,0.008721783619243056,-0.006635152047416605,-0.0465142064749027,0.015877572268866186,0.06817279467631099,-0.026612829655471255,-0.03130677547821237,-0.061236501809067055,-0.03007645736364182,-0.10386054301233923,-0.05629596989057917,-0.07750990871690037,0.5132590602853127,0.36809864998404707,-0.4443649777737699,1.3312096390737276,0.34898598417438126,0.592434519423757,-0.03137323915527314,0.09456719274726434,-0.7028454329551235,-0.7349908291362355,-0.22599916162061826,0.3105898969326679,0.3171164779062973,-0.06450876339825949,-1.129671793294568,1.8092889830024446,0.7182444802894045,-0.13008778114674172,-1.3877989278940763
2103,2103,0.011893811716897094,-0.0033608417873406383,-0.04415622131333706,0.028085089973453978,0.06913998828472831,-0.019456238175960452,-0.0294316385519611,-0.05753748422279478,-0.029191650885813523,-0.09488549548946675,-0.0550983751629901,-0.08650353518835042,0.537500283469115,0.39287606064013786,-0.41994664763249906,1.3626197390411843,0.4718594776246984,0.6520681255513375,0.00822977889657654,0.13309802536602522,-0.6574674185112824,-0.6964133108446136,-0.1391651449979399,0.3102040421660418,0.2273388491905062,-0.1507658954986845,-1.1263319406466201,1.8090027579009005,0.6200836680434705,-0.25501482472833487,-1.4248938422385047
2104,2104,0.011893811716897094,-0.0033608417873406383,-0.04415622131333706,0.028753384738303675,0.07189762645807486,-0.019456238175960452,-0.0294316385519611,-0.05753748422279478,-0.029191650885813523,-0.09500389624681603,-0.0550983751629901,-0.09281420422501509,0.537500283469115,0.39287606064013786,-0.41994664763249906,1.4173245291738976,0.4856801792429503,0.6520681255513375,0.00822977889657654,0.13309802536602522,-0.6574674185112824,-0.6964133108446136,-0.1391651449979399,0.2270312522981422,0.21158126068727784,-0.14661361822678456,-1.077965140702858,1.7171539883997224,0.6199698988197914,-0.31747834651913115,-1.466943266555257
2105,2105,0.008563182214360355,-0.006798867560420402,-0.047100350085664155,0.03109241641527761,0.06914251359441087,-0.022024092553775004,-0.030149374985264075,-0.05682418772382464,-0.025259177651021092,-0.09507862828377416,-0.05560877416372697,-0.09614104097235841,0.4711758044653478,0.3250845618214772,-0.4921687869014046,1.3744325428166633,0.5373592752658424,0.6079735193483744,0.00822977889657654,0.09264065111632627,-0.7028454329551235,-0.7157020699904245,-0.16810981720549936,0.22620235307080802,0.1858767779458582,-0.2292228023007669,-1.120764438151423,1.716278133217941,0.6190512392213926,-0.44240539010072427,-1.5806669384908136
2106,2106,0.010149196263187376,-0.005161712430382419,-0.047100350085664155,0.032429005944977,0.07252137794966514,-0.022024092553775004,-0.030149374985264075,-0.05658672901836102,-0.025259177651021092,-0.09544778653862745,-0.05560877416372697,-0.09644198833101518,0.5008651182359688,0.3554305684488883,-0.4921687869014046,1.4440389258821602,0.5634198401592341,0.6079735193483744,0.00822977889657654,0.11190606742570672,-0.7028454329551235,-0.7157020699904245,-0.16810981720549936,0.2259584036311546,0.09370623049876509,-0.3402405304710644,-1.147291009460947,1.7158790388499938,0.5211391142099734,-0.44240539010072427,-1.5391613147772112
2107,2107,0.007611573785064144,-0.007781160638443192,-0.047100350085664155,0.031537946258510745,0.07557195204618769,-0.02449121206835695,-0.030149374985264075,-0.05658672901836102,-0.022577945900026253,-0.09540051627428649,-0.05214166252299083,-0.10214826130852375,0.476425076769504,0.3304499418825226,-0.4921687869014046,1.4431886542664993,0.5134316868865741,0.5829223940486077,0.058139564597443176,0.0810814013306981,-0.7028454329551235,-0.7157020699904245,-0.1970544894130588,0.22571744614137174,0.11243263676372099,-0.343312809325708,-1.0474972869782566,1.7915855864470693,0.5208849713032931,-0.44240539010072427,-1.532207102605108
2108,2108,0.0009503147799906621,-0.011382901924526755,-0.04983880378398354,0.03131518133689418,0.07759472510191168,-0.027001106582547105,-0.02753537999846843,-0.05975284509120915,-0.025674768572425295,-0.10439402170990163,-0.05721210865024741,-0.10452020601155644,0.43596768132545627,0.28734564871411616,-0.49044215021858995,1.4682173977415987,0.5102713791889648,0.5548108425289948,0.058139564597443176,0.03869748545006082,-0.7482234473989642,-0.6771245516988026,-0.22599916162061826,0.22570276944785736,0.0630700013440802,-0.3411042435671246,-1.192585536887281,1.7916903133963775,0.5192870277802486,-0.5673324336823169,-1.542043212104613
2109,2109,0.0009503147799906621,-0.011382901924526755,-0.04983880378398354,0.03231762348416872,0.07767553501175332,-0.02441226363539862,-0.030099410693420998,-0.057217191085192694,-0.025674768572425295,-0.09711530138737944,-0.05721210865024741,-0.10719257779648558,0.43596768132545627,0.28734564871411616,-0.49044215021858995,1.4712940766928435,0.5323602381184825,0.5892403210795015,0.12673400399631454,0.03869748545006082,-0.7482234473989642,-0.7157020699904245,-0.1970544894130588,0.142917582340533,0.08339508769186757,-0.36348444749844416,-1.141435668759824,1.7917486881803468,0.4219497964207091,-0.44240539010072427,-1.5767141053857725
