,sent_no,baseline_sentimentr_stdscaler_roll10,baseline_syuzhet_stdscaler_roll10,baseline_bing_stdscaler_roll10,baseline_sentiword_stdscaler_roll10,baseline_senticnet_stdscaler_roll10,baseline_nrc_stdscaler_roll10,baseline_afinn_stdscaler_roll10,baseline_vader_stdscaler_roll10,baseline_textblob_stdscaler_roll10,baseline_flair_stdscaler_roll10,baseline_pattern_stdscaler_roll10,baseline_stanza_stdscaler_roll10,sentimentr_jockers_rinker_stdscaler_roll10,sentimentr_jockers_stdscaler_roll10,sentimentr_huliu_stdscaler_roll10,sentimentr_senticnet_stdscaler_roll10,sentimentr_sentiword_stdscaler_roll10,sentimentr_nrc_stdscaler_roll10,sentimentr_lmcd_stdscaler_roll10,syuzhetr_syuzhet_stdscaler_roll10,syuzhetr_bing_stdscaler_roll10,syuzhetr_afinn_stdscaler_roll10,syuzhetr_nrc_stdscaler_roll10,transformer_roberta15lg_stdscaler_roll10,transformer_nlptown_stdscaler_roll10,transformer_yelp_stdscaler_roll10,transformer_hinglish_stdscaler_roll10,transformer_imdb2way_stdscaler_roll10,transformer_huggingface_stdscaler_roll10,transformer_t5imdb50k_stdscaler_roll10,transformer_robertaxml8lang_stdscaler_roll10
2120,2120,0.0007917133751079614,-0.01154661743753055,-0.03844211824864419,0.0698089597922367,0.0914713018075337,-0.0021279260662392763,-0.03391898077403025,-0.0734472174888566,-0.04659499951099851,-0.09571925291384274,-0.06825430739312661,-0.10160605082746413,0.2676449442893785,0.11529980982728774,-0.5661716404425255,1.3949481376224624,0.6645270329345313,0.5942887724907713,-0.26731832597253746,0.036770943819123006,-0.5667113896236009,-0.7157020699904245,0.06344756045497668,0.23132519943452973,0.22485958604500358,-0.42905793132188974,-0.9750861108742686,2.00003834255237,0.6955184501056074,-0.6922594772639096,-1.4275519609311622
2121,2121,0.0122110145266625,0.00024089949874292834,-0.030153942829385806,0.07682605482315852,0.10116091505948488,0.00772130725772281,-0.022502684533359203,-0.06508922328608516,-0.0388087025061095,-0.09517046765449376,-0.05561393268559135,-0.09674939384856736,0.4440017105439561,0.23510100698681705,-0.4010197379133714,1.4813836849328084,0.7497189303069325,0.6913320686187268,-0.210244302480767,0.17548194124666253,-0.43057734629207833,-0.5228144785323147,0.1792262492852149,0.23184916806966197,0.20448269267162927,-0.43171358400444493,-0.9748806797129956,1.995954175520993,0.6956088847572557,-0.6922594772639096,-1.4405124163540937
2122,2122,0.01300402155107601,0.0010594770637619203,-0.03019347557403449,0.06823846709483992,0.09689819231533747,0.007703073216268491,-0.026923198744984292,-0.0676073900230946,-0.04408214911396615,-0.09517947151436822,-0.05630318933088798,-0.09628866620381646,0.45619379834334506,0.247562769492367,-0.4020851951854538,1.4421414085775643,0.6358899556371576,0.732007519289521,-0.2111083116766382,0.1851146494013526,-0.43057734629207833,-0.5999695151155586,0.1792262492852149,0.3149181782456615,0.2418786674829429,-0.3634506219759487,-0.8243399897309943,2.000149130241586,0.7937882732446111,-0.6922594772639096,-1.3234330977631383
2123,2123,0.012686818741310606,0.0007320460377543237,-0.025263677077772922,0.06883993238320466,0.09841842874423365,0.007703073216268491,-0.029502568342668765,-0.06563685092077837,-0.04585176206962274,-0.08618011356983465,-0.05973309805445903,-0.09295266474840762,0.4472870042121588,0.23845896750414375,-0.31236652136004855,1.480668599223821,0.653480836940197,0.732007519289521,-0.2111083116766382,0.18126156613947647,-0.38519933184823757,-0.6192582742613696,0.1792262492852149,0.39630698882862564,0.30252201076518975,-0.3646622845219721,-0.8230003106507573,1.9999080490020016,0.7940019967111649,-0.6922594772639096,-1.2341469782408927
2124,2124,0.003963741472761999,-0.004997996917378618,-0.03322307105697968,0.06465195185681323,0.10087555506535652,0.0027349059099292384,-0.028683066690001712,-0.06838327253745825,-0.05322514938485855,-0.08590369507168841,-0.06842426385575978,-0.09846289285501432,0.3593030944609474,0.18123077880510577,-0.4090502184191703,1.5781118369972635,0.5927837163946771,0.6795369415079446,-0.26337732676761955,0.11383260905664479,-0.5213333751797602,-0.6578357925529916,0.1213369048700956,0.39609716996401023,0.3238919158058403,-0.345022373863787,-0.8269135431389457,1.9112463142263567,0.7867067404544289,-0.6922594772639096,-1.3096990280311571
2125,2125,-0.0012701048883671648,-0.010400608846503963,-0.040171049642749056,0.06064218326771504,0.08896871991212489,-0.007333250681282755,-0.03720850159631848,-0.07539198587895199,-0.053402110680424206,-0.08577133833153369,-0.07117956795139824,-0.10445050857826152,0.29986456515329996,0.12047753882694584,-0.4090502184191703,1.4405720953096068,0.49916918042359565,0.5420310642510764,-0.26337732676761955,0.05025673523568924,-0.5667113896236009,-0.6771245516988026,0.034502888247417235,0.31387806473808755,0.34486710846219576,-0.27131337339257494,-0.8332913908038263,1.9148988780365794,0.6892537562567874,-0.8171865208455021,-1.3910741871010373
2126,2126,0.002219126019052278,-0.006798867560420399,-0.032090110674305464,0.06855033798510311,0.08803183001989819,-0.004732877172569325,-0.03278580139851336,-0.07151257330713372,-0.05133756223215818,-0.08430641032995728,-0.07096477290296477,-0.10660706720547347,0.38024654235893146,0.16713626588058703,-0.22078838233127132,1.4267863627031232,0.5929870812915341,0.5557588077370144,-0.11206155542278547,0.09264065111632654,-0.43057734629207833,-0.5999695151155586,0.06344756045497668,0.3970408408849681,0.39094722140485505,-0.3553589354460773,-0.8361837319816304,1.904920804840441,0.6008386291914797,-0.8171865208455021,-1.393957571454511
2127,2127,0.0026949302337003845,-0.006307721021409004,-0.033459293096075815,0.06320397986630555,0.0846479150452788,-0.004732877172569325,-0.03328418838255641,-0.06924935254459488,-0.053981256738639086,-0.09191197076592277,-0.07098745581092485,-0.11063167528019927,0.35557532242806106,0.14191934745287474,-0.2566280993497203,1.363423369062389,0.5043557408528458,0.5557588077370144,-0.11206155542278547,0.0598894433903796,-0.43057734629207833,-0.5806807559697476,0.06344756045497668,0.39691630376492026,0.39167308347721147,-0.3541115746479121,-0.6948678212463119,1.88916913130402,0.5212445592850914,-0.8171865208455021,-1.395769715109475
2128,2128,0.004439545687410107,-0.004506850378367222,-0.02756108226847959,0.06921863274995284,0.08583228528639557,-0.009848142688800476,-0.027172367428766542,-0.06248362020404065,-0.04690280491601271,-0.09001980961330272,-0.0683800885356682,-0.11565576156028866,0.44687248743369445,0.1536004985677897,-0.14733432348807127,1.348687049190396,0.5641455123431022,0.49020125574140727,-0.11206155542278547,0.05603636012850345,-0.38519933184823757,-0.5228144785323147,0.0055582160398577754,0.3138157626582933,0.3486206621729522,-0.4101556676135253,-0.6756982112468233,1.7990142878034066,0.42332553117827987,-0.9421135644270947,-1.5065024246761305
2129,2129,0.00221912601905228,-0.0067988675604203986,-0.03034949103930512,0.07115668756801695,0.08918589654482433,-0.012372649950512665,-0.02486212583457568,-0.05955496283665613,-0.040709159571214626,-0.09015576789740723,-0.06474248275195195,-0.11992822526741347,0.4251036497138893,0.13135015964719343,-0.18322179301823355,1.4067458377936841,0.6035144807116236,0.4609868744344713,-0.0538572435220275,0.029064777295370988,-0.43057734629207833,-0.4842369602406926,-0.02338645616770168,0.3140590913614591,0.39175782221737954,-0.4082922078595502,-0.6687549072829814,1.8901029026637155,0.4142042889900171,-0.8171865208455021,-1.4672793451842483
