,sent_no,sent_raw,syuzhet,bing,afinn,nrc,char_len,token_len,sent_clean,syuzhet_stdscaler,syuzhet_medianiqr,syuzhet_lnorm_stdscaler,syuzhet_lnorm_medianiqr,bing_stdscaler,bing_medianiqr,bing_lnorm_stdscaler,bing_lnorm_medianiqr,afinn_stdscaler,afinn_medianiqr,afinn_lnorm_stdscaler,afinn_lnorm_medianiqr,nrc_stdscaler,nrc_medianiqr,nrc_lnorm_stdscaler,nrc_lnorm_medianiqr,syuzhet_roll10,bing_roll10,afinn_roll10,nrc_roll10,mean_roll10,syuzhet_roll10_stdscale,bing_roll10_stdscale,afinn_roll10_stdscale,nrc_roll10_stdscale,syuzhet_roll100,syuzhet_stdscaler_roll10,bing_roll100,bing_stdscaler_roll10,afinn_roll100,afinn_stdscaler_roll10,nrc_roll100,nrc_stdscaler_roll10
40,41,"40,He called the Friday pudding dog-in-the-blanket.",0.0,0,0,0,51,6,  he called the friday pudding dog in the blanket ,0.03913243489953562,0.0,-0.020814003288129903,0.0,0.15647490714890863,0.0,0.09892054047490724,0.0,0.0500441119624052,0.0,0.02113457457283976,0.0,-0.04546031030947344,0.0,-0.03369236473536507,0.0,,,,,,,,,,,,,,,,,
41,42,"41,And one day he had asked:",0.0,0,0,0,28,6,  and one day he had asked ,0.03913243489953562,0.0,-0.020814003288129903,0.0,0.15647490714890863,0.0,0.09892054047490724,0.0,0.0500441119624052,0.0,0.02113457457283976,0.0,-0.04546031030947344,0.0,-0.03369236473536507,0.0,,,,,,,,,,,,,,,,,
42,43,"42,What is your name?",0.0,0,0,0,21,4,  what is your name ,0.03913243489953562,0.0,-0.020814003288129903,0.0,0.15647490714890863,0.0,0.09892054047490724,0.0,0.0500441119624052,0.0,0.02113457457283976,0.0,-0.04546031030947344,0.0,-0.03369236473536507,0.0,,,,,,,,,,,,,,,,,
43,44,"43,Stephen had answered: Stephen Dedalus.",0.0,0,0,0,41,5,  stephen had answered  stephen dedalus ,0.03913243489953562,0.0,-0.020814003288129903,0.0,0.15647490714890863,0.0,0.09892054047490724,0.0,0.0500441119624052,0.0,0.02113457457283976,0.0,-0.04546031030947344,0.0,-0.03369236473536507,0.0,,,,,,,,,,,,,,,,,
44,45,"44,Then Nasty Roche had said:",-1.0,-1,-3,-1,29,5,  then nasty roche had said ,-0.9810147008567991,-1.1111111111111112,-1.7592143405762946,-4.024545802064262,-0.6608832607832764,-1.0,-1.4791700421928833,-6.0,-1.2163289448264345,-3.0,-2.106496056483012,-39.44827586206896,-0.8217611444626834,-1.0,-1.4711994729028124,-5.6000000000000005,,,,,,,,,,,,,,,,,
45,46,"45,What kind of a name is that?",0.5,0,2,1,31,7,  what kind of a name is that ,0.5492060027777029,0.5555555555555556,0.6000432600290716,1.437337786451522,0.15647490714890863,0.0,0.09892054047490724,0.0,0.8942928164882984,2.0,1.0342920179327693,18.784893267651885,0.7308405238437365,1.0,0.9930984268128115,4.0,,,,,,,,,,,,,,,,,
46,47,"46,And when Stephen had not been able to answer Nasty Roche had asked:",-1.0,-1,-3,-1,70,13,  and when stephen had not been able to answer nasty roche had asked ,-0.9810147008567991,-1.1111111111111112,-0.6894295176297317,-1.5479022315631776,-0.6608832607832764,-1.0,-0.5080373759357814,-2.307692307692308,-1.2163289448264345,-3.0,-0.7971848989101802,-15.172413793103448,-0.8217611444626834,-1.0,-0.5865797140305371,-2.153846153846154,,,,,,,,,,,,,,,,,
47,48,"47,What is your father?",0.0,0,0,0,23,4,  what is your father ,0.03913243489953562,0.0,-0.020814003288129903,0.0,0.15647490714890863,0.0,0.09892054047490724,0.0,0.0500441119624052,0.0,0.02113457457283976,0.0,-0.04546031030947344,0.0,-0.03369236473536507,0.0,,,,,,,,,,,,,,,,,
48,49,"48,Stephen had answered:",0.0,0,0,0,24,3,  stephen had answered ,0.03913243489953562,0.0,-0.020814003288129903,0.0,0.15647490714890863,0.0,0.09892054047490724,0.0,0.0500441119624052,0.0,0.02113457457283976,0.0,-0.04546031030947344,0.0,-0.03369236473536507,0.0,,,,,,,,,,,,,,,,,
49,50,"49,A gentleman.",1.0,0,0,1,15,2,  a gentleman ,1.0592795706558702,1.1111111111111112,4.3251868399322815,10.061364505160654,0.15647490714890863,0.0,0.09892054047490724,0.0,0.0500441119624052,0.0,0.02113457457283976,0.0,0.7308405238437365,1.0,3.560075405683253,14.0,,,,,,,,,,,,,,,,,
50,51,"50,Then Nasty Roche had asked:",-1.0,-1,-3,-1,30,5,  then nasty roche had asked ,-0.9810147008567991,-1.1111111111111112,-1.7592143405762946,-4.024545802064262,-0.6608832607832764,-1.0,-1.4791700421928833,-6.0,-1.2163289448264345,-3.0,-2.106496056483012,-39.44827586206896,-0.8217611444626834,-1.0,-1.4711994729028124,-5.6000000000000005,,,,,,,,,,,,,,,,,
51,52,"51,Is he a magistrate?",0.0,0,0,0,22,4,  is he a magistrate ,0.03913243489953562,0.0,-0.020814003288129903,0.0,0.15647490714890863,0.0,0.09892054047490724,0.0,0.0500441119624052,0.0,0.02113457457283976,0.0,-0.04546031030947344,0.0,-0.03369236473536507,0.0,,,,,,,,,,,,,,,,,
52,53,"52,""He crept about from point to point on the fringe of his line, making little runs now and then.""",-0.6,-1,0,0,99,19,   he crept about from point to point on the fringe of his line  making little runs now and then  ,-0.5729558465542652,-0.6666666666666666,-0.29529826707047163,-0.6354546003259361,-0.6608832607832764,-1.0,-0.31636645496398497,-1.5789473684210527,0.0500441119624052,0.0,0.02113457457283976,0.0,-0.04546031030947344,0.0,-0.03369236473536507,0.0,,,,,,,,,,,,,,,,,
53,54,"53,But his hands were bluish with cold.",-0.5,-1,0,-1,39,7,  but his hands were bluish with cold ,-0.47094113297863177,-0.5555555555555556,-0.6416712666053315,-1.437337786451522,-0.6608832607832764,-1.0,-1.0282870185735145,-4.285714285714286,0.0500441119624052,0.0,0.02113457457283976,0.0,-0.8217611444626834,-1.0,-1.0604831562835415,-4.0,,,,,,,,,,,,,,,,,
54,55,"54,He kept his hands in the side pockets of his belted grey suit.",0.0,0,-1,0,65,13,  he kept his hands in the side pockets of his belted grey suit ,0.03913243489953562,0.0,-0.020814003288129903,0.0,0.15647490714890863,0.0,0.09892054047490724,0.0,-0.3720802403005414,-1.0,-0.2516385832548335,-5.057471264367816,-0.04546031030947344,0.0,-0.03369236473536507,0.0,,,,,,,,,,,,,,,,,
55,56,"55,That was a belt round his pocket.",0.0,0,0,-1,36,7,  that was a belt round his pocket ,0.03913243489953562,0.0,-0.020814003288129903,0.0,0.15647490714890863,0.0,0.09892054047490724,0.0,0.0500441119624052,0.0,0.02113457457283976,0.0,-0.8217611444626834,-1.0,-1.0604831562835415,-4.0,,,,,,,,,,,,,,,,,
56,57,"56,And belt was also to give a fellow a belt.",0.4,0,0,0,45,10,  and belt was also to give a fellow a belt ,0.4471912892020695,0.4444444444444445,0.32686606416950303,0.8049091604128524,0.15647490714890863,0.0,0.09892054047490724,0.0,0.0500441119624052,0.0,0.02113457457283976,0.0,-0.04546031030947344,0.0,-0.03369236473536507,0.0,,,,,,,,,,,,,,,,,
57,58,"57,One day a fellow said to Cantwell:",0.4,0,0,1,37,7,  one day a fellow said to cantwell ,0.4471912892020695,0.4444444444444445,0.47587180736563145,1.1498702291612177,0.15647490714890863,0.0,0.09892054047490724,0.0,0.0500441119624052,0.0,0.02113457457283976,0.0,0.7308405238437365,1.0,0.9930984268128115,4.0,,,,,,,,,,,,,,,,,
58,59,"58,I'd give you such a belt in a second.",0.0,0,0,-1,40,9,  I would give you such a belt in a second ,0.03913243489953562,0.0,-0.020814003288129903,0.0,0.15647490714890863,0.0,0.09892054047490724,0.0,0.0500441119624052,0.0,0.02113457457283976,0.0,-0.8217611444626834,-1.0,-0.8323074248283913,-3.111111111111111,,,,,,,,,,,,,,,,,
59,60,"59,Cantwell had answered:",0.0,0,0,0,25,3,  cantwell had answered ,0.03913243489953562,0.0,-0.020814003288129903,0.0,0.15647490714890863,0.0,0.09892054047490724,0.0,0.0500441119624052,0.0,0.02113457457283976,0.0,-0.04546031030947344,0.0,-0.03369236473536507,0.0,,,,,,,,,,,,,,,,,
60,61,"60,Go and fight your match.",-0.5,0,-1,-1,27,5,  go and fight your match ,-0.47094113297863177,-0.5555555555555556,-0.8900141719322122,-2.012272901032131,0.15647490714890863,0.0,0.09892054047490724,0.0,-0.3720802403005414,-1.0,-0.6880756357791108,-13.149425287356323,-0.8217611444626834,-1.0,-1.4711994729028124,-5.6000000000000005,,,,,,,,,,,,,,,,,
61,62,"61,Give Cecil Thunder a belt.",0.0,0,0,-1,29,5,  give cecil thunder a belt ,0.03913243489953562,0.0,-0.020814003288129903,0.0,0.15647490714890863,0.0,0.09892054047490724,0.0,0.0500441119624052,0.0,0.02113457457283976,0.0,-0.8217611444626834,-1.0,-1.4711994729028124,-5.6000000000000005,,,,,,,,,,,,,,,,,
62,63,"62,I'd like to see you.",0.5,1,2,0,23,5,  I would like to see you ,0.5492060027777029,0.5555555555555556,0.8483861653559523,2.012272901032131,0.9738330750810936,1.0,1.6770111231426976,6.0,0.8942928164882984,2.0,1.439554995276741,26.298850574712645,-0.04546031030947344,0.0,-0.03369236473536507,0.0,,,,,,,,,,,,,,,,,
